"STATION","NAME","DATE","AWND","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT08","WT09"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2018-01-01","4.8","0.0","0.0","30.0","-18.9","-17.1","-22.7","  310","  310","7.6","10.3",,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2018-01-02","5.0","0.0","0.0","30.0","-19.1","-13.2","-22.7","  220","  230","9.8","13.4",,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2018-01-03","5.5","0.0","3.0","30.0","-11.4","-8.2","-14.3","  330","  220","9.4","12.1","    1",,,,,,"    1",
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2018-01-04","5.5","0.0","0.0","30.0","-13.9","-11.0","-17.7","  330","  330","8.9","10.7",,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2018-01-05","4.8","0.0","0.0","30.0","-15.2","-11.6","-18.2","  320","  330","8.9","10.3",,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2018-01-06","2.9","0.0","0.0","30.0","-14.8","-8.2","-18.8","  200","  170","6.3","7.6",,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2018-01-07","6.7","0.8","0.0","25.0","-8.4","0.6","-13.2","  210","  210","10.7","14.3","    1",,,"    1",,"    1",,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2018-01-08","5.3","0.0","0.0","30.0","0.9","2.8","-0.5","  250","  250","8.1","10.7","    1",,,,,,"    1",
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2018-01-09","2.7","0.0","0.0","0.0","-0.6","2.2","-3.2","  160","  170","6.3","8.1","    1",,,,,,"    1",
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2018-01-10","7.1","0.3","0.0","0.0","2.7","13.3","-1.0","  210","  210","13.9","18.8","    1",,,,,"    1",,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2018-01-11","7.3","9.1","0.0","0.0","13.1","15.0","-4.9","  220","  190","12.5","16.1","    1",,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2018-01-12","8.9","0.0","0.0","0.0","-4.8","-4.9","-9.9","  360","   10","13.0","16.5",,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2018-01-13","4.4","0.0","0.0","0.0","-10.6","-8.8","-14.3","  340","  340","10.3","12.1",,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2018-01-14","4.2","2.0","20.0","0.0","-11.2","-6.0","-14.9","  160","  170","9.8","13.0","    1",,,,,,,
